Plex Dataset Name,Run Metadata ID,Number of Fractions,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131
"01CPTAC_P5P6CompRef_Proteome_BI_20160908","01CPTAC_P5P6CompRef_Proteome_BI_20160908","25","P5
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue"
"02CPTAC_P5P6CompRef_Proteome_BI_20161028","02CPTAC_P5P6CompRef_Proteome_BI_20161028","25","P5
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue"
"03CPTAC_P5P6CompRef_Proteome_BI_20170407","03CPTAC_P5P6CompRef_Proteome_BI_20170407","25","P5
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue"
"04CPTAC_P5P6CompRef_Proteome_BI_20170617","04CPTAC_P5P6CompRef_Proteome_BI_20170617","25","P5
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue","P6
Xenograft Tissue","P5
Xenograft Tissue","P6
Xenograft Tissue"
