Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ppb.iBAQ.MFM223_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	not available		not available		not available		not available		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ppb.iBAQ.SKBR3_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	SKBR3	http://www.ebi.ac.uk/efo/EFO_0001236	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	SKBR3	http://www.ebi.ac.uk/efo/EFO_0001236	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.SKBR3_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	SKBR3	http://www.ebi.ac.uk/efo/EFO_0001236	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	SKBR3	http://www.ebi.ac.uk/efo/EFO_0001236	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.SKBR3_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	SKBR3	http://www.ebi.ac.uk/efo/EFO_0001236	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	SKBR3	http://www.ebi.ac.uk/efo/EFO_0001236	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.SKBR3_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	SKBR3	http://www.ebi.ac.uk/efo/EFO_0001236	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	SKBR3	http://www.ebi.ac.uk/efo/EFO_0001236	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.SW527_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	SW527	http://www.ebi.ac.uk/efo/EFO_0005462	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	SW527	http://www.ebi.ac.uk/efo/EFO_0005462	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.SW527_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	SW527	http://www.ebi.ac.uk/efo/EFO_0005462	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	SW527	http://www.ebi.ac.uk/efo/EFO_0005462	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.SW527_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	SW527	http://www.ebi.ac.uk/efo/EFO_0005462	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	SW527	http://www.ebi.ac.uk/efo/EFO_0005462	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.SW527_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	SW527	http://www.ebi.ac.uk/efo/EFO_0005462	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	SW527	http://www.ebi.ac.uk/efo/EFO_0005462	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.Tumour.TNBC_1_Lawrence_LysC_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	not available		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stage II to III		individual 1		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	tumor tissue from individual 1		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	Yes
ppb.iBAQ.Tumour.TNBC_1_Lawrence_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	not available		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stage II to III		individual 1		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	tumor tissue from individual 1		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	Yes
ppb.iBAQ.Tumour.TNBC_2_Lawrence_LysC_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	not available		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stage II to III		individual 2		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	tumor tissue from individual 2		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	Yes
ppb.iBAQ.Tumour.TNBC_2_Lawrence_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	not available		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stage II to III		individual 2		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	tumor tissue from individual 2		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	Yes
ppb.iBAQ.Tumour.TNBC_3_Lawrence_LysC_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	not available		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stage II to III		individual 3		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	tumor tissue from individual 3		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	Yes
ppb.iBAQ.Tumour.TNBC_3_Lawrence_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	not available		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stage II to III		individual 3		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	tumor tissue from individual 3		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	Yes
ppb.iBAQ.Tumour.TNBC_4_Lawrence_LysC_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	not available		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stage II to III		individual 4		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	tumor tissue from individual 4		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	Yes
ppb.iBAQ.Tumour.TNBC_4_Lawrence_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	not available		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stage II to III		individual 4		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	tumor tissue from individual 4		triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0005537	Yes
