Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ppb.iBAQ.HCC1937_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HCC1937	http://www.ebi.ac.uk/efo/EFO_0001174	not available		not available		not available		not available		breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	HCC1937	http://www.ebi.ac.uk/efo/EFO_0001174	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ppb.iBAQ.HCC1937_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HCC1937	http://www.ebi.ac.uk/efo/EFO_0001174	not available		not available		not available		not available		breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	HCC1937	http://www.ebi.ac.uk/efo/EFO_0001174	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ppb.iBAQ.HCC38_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	not available		not available		not available		not available		breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ppb.iBAQ.HCC38_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	not available		not available		not available		not available		breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ppb.iBAQ.HCC38_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	not available		not available		not available		not available		breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ppb.iBAQ.HCC38_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	not available		not available		not available		not available		breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ppb.iBAQ.HS578T_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.HS578T_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.HS578T_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.HS578T_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
