Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Factor Value[disease]	Factor Value Ontology Term[disease]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
guot_L130630_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF268	http://www.ebi.ac.uk/efo/EFO_0005451	cell culture	http://purl.obolibrary.org/obo/BTO_0000214	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SF268	http://www.ebi.ac.uk/efo/EFO_0005451	Yes
guot_L130701_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2998	http://www.ebi.ac.uk/efo/EFO_0005370	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	HCC2998	http://www.ebi.ac.uk/efo/EFO_0005370	Yes
guot_L130701_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDAMB435	http://www.ebi.ac.uk/efo/EFO_0001213			melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	MDAMB435	http://www.ebi.ac.uk/efo/EFO_0001213	Yes
guot_L130701_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCF7ADR		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	MCF7ADR		Yes
guot_L130701_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H23	http://www.ebi.ac.uk/efo/EFO_0002286	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	H23	http://www.ebi.ac.uk/efo/EFO_0002286	Yes
guot_L130701_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UO31		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	UO31		Yes
guot_L130702_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HOP62	http://www.ebi.ac.uk/efo/EFO_0006439	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	HOP62	http://www.ebi.ac.uk/efo/EFO_0006439	Yes
guot_L130702_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	Yes
guot_L130702_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SR				leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	SR		Yes
guot_L130703_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HOP92	http://www.ebi.ac.uk/efo/EFO_0006440	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	HOP92	http://www.ebi.ac.uk/efo/EFO_0006440	Yes
guot_L130703_003b_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LOXIMVI	http://www.ebi.ac.uk/efo/EFO_0006284			melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	LOXIMVI	http://www.ebi.ac.uk/efo/EFO_0006284	Yes
guot_L130703_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC3	http://www.ebi.ac.uk/efo/EFO_0002074	prostate	http://purl.obolibrary.org/obo/UBERON_0002367	prostate cancer	http://www.ebi.ac.uk/efo/EFO_0001663	prostate cancer	http://www.ebi.ac.uk/efo/EFO_0001663	PC3	http://www.ebi.ac.uk/efo/EFO_0002074	Yes
guot_L130703_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SN12C		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	SN12C		Yes
guot_L130719_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNB75		brain	http://purl.obolibrary.org/obo/UBERON_0000955	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SNB75		Yes
guot_L130719_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNB75		brain	http://purl.obolibrary.org/obo/UBERON_0000955	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SNB75		Yes
guot_L130722_001_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	Yes
guot_L130722_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	Yes
guot_L130722_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	M14	http://www.ebi.ac.uk/efo/EFO_0003056			melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	M14	http://www.ebi.ac.uk/efo/EFO_0003056	Yes
guot_L130722_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	M14	http://www.ebi.ac.uk/efo/EFO_0003056			melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	M14	http://www.ebi.ac.uk/efo/EFO_0003056	Yes
