Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Factor Value[disease]	Factor Value Ontology Term[disease]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
guot_L130615_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCAR4	http://www.ebi.ac.uk/efo/EFO_0005442	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	OVCAR4	http://www.ebi.ac.uk/efo/EFO_0005442	Yes
guot_L130615_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RPMI8226	http://www.ebi.ac.uk/efo/EFO_0002322	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	RPMI8226	http://www.ebi.ac.uk/efo/EFO_0002322	Yes
guot_L130615_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	T47D	http://www.ebi.ac.uk/efo/EFO_0001247	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	T47D	http://www.ebi.ac.uk/efo/EFO_0001247	Yes
guot_L130616_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A549	http://www.ebi.ac.uk/efo/EFO_0001086	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	A549	http://www.ebi.ac.uk/efo/EFO_0001086	Yes
guot_L130616_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BT549	http://www.ebi.ac.uk/efo/EFO_0001096	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	BT549	http://www.ebi.ac.uk/efo/EFO_0001096	Yes
guot_L130616_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H522	http://www.ebi.ac.uk/efo/EFO_0002295	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	H522	http://www.ebi.ac.uk/efo/EFO_0002295	Yes
guot_L130616_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TK10	http://www.ebi.ac.uk/efo/EFO_0006765	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	TK10	http://www.ebi.ac.uk/efo/EFO_0006765	Yes
guot_L130616_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UACC257				melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	UACC257		Yes
guot_L130617_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DU145	http://www.ebi.ac.uk/efo/EFO_0005441	prostate	http://purl.obolibrary.org/obo/UBERON_0002367	prostate cancer	http://www.ebi.ac.uk/efo/EFO_0001663	prostate cancer	http://www.ebi.ac.uk/efo/EFO_0001663	DU145	http://www.ebi.ac.uk/efo/EFO_0005441	Yes
guot_L130617_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT15	http://www.ebi.ac.uk/efo/EFO_0002188	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	HCT15	http://www.ebi.ac.uk/efo/EFO_0002188	Yes
