Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ppb.iBAQ.OVCAR.3_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	Yes
ppb.iBAQ.OVCAR.5_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	Yes
ppb.iBAQ.OVCAR.5_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	Yes
ppb.iBAQ.OVCAR.5_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	Yes
ppb.iBAQ.OVISE_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	not available		OVISE	http://www.ebi.ac.uk/efo/EFO_0006724	OVISE	http://www.ebi.ac.uk/efo/EFO_0006724	Yes
ppb.iBAQ.OVISE_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	not available		OVISE	http://www.ebi.ac.uk/efo/EFO_0006724	OVISE	http://www.ebi.ac.uk/efo/EFO_0006724	Yes
ppb.iBAQ.OVISE_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	not available		OVISE	http://www.ebi.ac.uk/efo/EFO_0006724	OVISE	http://www.ebi.ac.uk/efo/EFO_0006724	Yes
ppb.iBAQ.OVKATE_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	Yes
ppb.iBAQ.OVKATE_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	Yes
ppb.iBAQ.OVKATE_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	Yes
ppb.iBAQ.OVSAHO_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVSAHO	http://www.ebi.ac.uk/efo/EFO_0006727	OVSAHO	http://www.ebi.ac.uk/efo/EFO_0006727	Yes
ppb.iBAQ.OVSAHO_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVSAHO	http://www.ebi.ac.uk/efo/EFO_0006727	OVSAHO	http://www.ebi.ac.uk/efo/EFO_0006727	Yes
ppb.iBAQ.OVSAHO_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVSAHO	http://www.ebi.ac.uk/efo/EFO_0006727	OVSAHO	http://www.ebi.ac.uk/efo/EFO_0006727	Yes
ppb.iBAQ.PEO1_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	not available		PEO1	http://www.ebi.ac.uk/efo/EFO_0005445	PEO1	http://www.ebi.ac.uk/efo/EFO_0005445	Yes
ppb.iBAQ.PEO1_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	not available		PEO1	http://www.ebi.ac.uk/efo/EFO_0005445	PEO1	http://www.ebi.ac.uk/efo/EFO_0005445	Yes
ppb.iBAQ.PEO1_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	not available		PEO1	http://www.ebi.ac.uk/efo/EFO_0005445	PEO1	http://www.ebi.ac.uk/efo/EFO_0005445	Yes
ppb.iBAQ.PEO4_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	not available		PEO4	http://www.ebi.ac.uk/efo/EFO_0005448	PEO4	http://www.ebi.ac.uk/efo/EFO_0005448	Yes
ppb.iBAQ.PEO4_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	not available		PEO4	http://www.ebi.ac.uk/efo/EFO_0005448	PEO4	http://www.ebi.ac.uk/efo/EFO_0005448	Yes
ppb.iBAQ.PEO4_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	not available		PEO4	http://www.ebi.ac.uk/efo/EFO_0005448	PEO4	http://www.ebi.ac.uk/efo/EFO_0005448	Yes
ppb.iBAQ.SKOV3IP1_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000043	not available		SKOV3IP		SKOV3IP		Yes
ppb.iBAQ.SKOV3IP1_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000043	not available		SKOV3IP		SKOV3IP		Yes
ppb.iBAQ.SKOV3IP1_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000043	not available		SKOV3IP		SKOV3IP		Yes
ppb.iBAQ.SNU119_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		SNU-119		SNU-119		Yes
ppb.iBAQ.SNU119_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		SNU-119		SNU-119		Yes
ppb.iBAQ.SNU119_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		SNU-119		SNU-119		Yes
ppb.iBAQ.TOV112DR_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		TOV112DR		TOV112DR		Yes
ppb.iBAQ.TOV112DR_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		TOV112DR		TOV112DR		Yes
ppb.iBAQ.TOV112DR_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		TOV112DR		TOV112DR		Yes
ppb.iBAQ.TOV112D_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		TOV-112D	http://www.ebi.ac.uk/efo/EFO_0005263	TOV-112D	http://www.ebi.ac.uk/efo/EFO_0005263	Yes
ppb.iBAQ.TOV112D_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		TOV-112D	http://www.ebi.ac.uk/efo/EFO_0005263	TOV-112D	http://www.ebi.ac.uk/efo/EFO_0005263	Yes
ppb.iBAQ.TOV112D_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		TOV-112D	http://www.ebi.ac.uk/efo/EFO_0005263	TOV-112D	http://www.ebi.ac.uk/efo/EFO_0005263	Yes
ppb.iBAQ.TYK.nu.CP.r_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		TYK-nu.CP-r	http://www.ebi.ac.uk/efo/EFO_0006767	TYK-nu.CP-r	http://www.ebi.ac.uk/efo/EFO_0006767	Yes
ppb.iBAQ.TYK.nu.CP.r_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		TYK-nu.CP-r	http://www.ebi.ac.uk/efo/EFO_0006767	TYK-nu.CP-r	http://www.ebi.ac.uk/efo/EFO_0006767	Yes
ppb.iBAQ.TYK.nu.CP.r_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		TYK-nu.CP-r	http://www.ebi.ac.uk/efo/EFO_0006767	TYK-nu.CP-r	http://www.ebi.ac.uk/efo/EFO_0006767	Yes
ppb.iBAQ.TYK.nu_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		TYK-nu	http://www.ebi.ac.uk/efo/EFO_0006766	TYK-nu	http://www.ebi.ac.uk/efo/EFO_0006766	Yes
ppb.iBAQ.TYK.nu_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		TYK-nu	http://www.ebi.ac.uk/efo/EFO_0006766	TYK-nu	http://www.ebi.ac.uk/efo/EFO_0006766	Yes
ppb.iBAQ.TYK.nu_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		TYK-nu	http://www.ebi.ac.uk/efo/EFO_0006766	TYK-nu	http://www.ebi.ac.uk/efo/EFO_0006766	Yes
ppb.iBAQ.Tumour.HGSOC_1_Coscia_LeftOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	IIIB		tumour tissue from individual 1		tumour tissue from individual 1		Yes
ppb.iBAQ.Tumour.HGSOC_1_Coscia_RightOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	IIIB		tumour tissue from individual 1		tumour tissue from individual 1		Yes
ppb.iBAQ.Tumour.HGSOC_2_Coscia_LeftOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	IIIB		tumour tissue from individual 2		tumour tissue from individual 2		Yes
ppb.iBAQ.Tumour.HGSOC_3_Coscia_LeftOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	IIIB		tumour tissue from individual 3		tumour tissue from individual 3		Yes
ppb.iBAQ.Tumour.HGSOC_3_Coscia_RightOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	IIIB		tumour tissue from individual 3		tumour tissue from individual 3		Yes
ppb.iBAQ.Tumour.HGSOC_4_Coscia_LeftOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	IIIB		tumour tissue from individual 4		tumour tissue from individual 4		Yes
ppb.iBAQ.Tumour.HGSOC_4_Coscia_RightOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	IIIB		tumour tissue from individual 4		tumour tissue from individual 4		Yes
ppb.iBAQ.Tumour.HGSOC_5_Coscia_Ovary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	IIIB		tumour tissue from individual 5		tumour tissue from individual 5		Yes
