Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ppb.iBAQ.DOV13_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	not available		DOV13		DOV13		Yes
ppb.iBAQ.DOV13_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	not available		DOV13		DOV13		Yes
ppb.iBAQ.DOV13_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	not available		DOV13		DOV13		Yes
ppb.iBAQ.FallopianTubeEpithelialCells_1_Coscia_PrimaryCells.FTEC.isolates	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	normal	http://purl.obolibrary.org/obo/PATO_0000461	not available		primary fallopian tube epithelial cell		primary fallopian tube epithelial cell		Yes
ppb.iBAQ.FallopianTubeEpithelialCells_2_Coscia_PrimaryCells.FTEC.isolates	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	normal	http://purl.obolibrary.org/obo/PATO_0000461	not available		primary fallopian tube epithelial cell		primary fallopian tube epithelial cell		Yes
ppb.iBAQ.FallopianTubeEpithelialCells_3_Coscia_PrimaryCells.FTEC.isolates	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	normal	http://purl.obolibrary.org/obo/PATO_0000461	not available		primary fallopian tube epithelial cell		primary fallopian tube epithelial cell		Yes
ppb.iBAQ.HEYA8_1_Coscia_ImmortalizedOvarianSurfaceEpithelialCells	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		HEY A8		HEY A8		Yes
ppb.iBAQ.HEYA8_2_Coscia_ImmortalizedOvarianSurfaceEpithelialCells	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		HEY A8		HEY A8		Yes
ppb.iBAQ.HEYA8_3_Coscia_ImmortalizedOvarianSurfaceEpithelialCells	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		HEY A8		HEY A8		Yes
ppb.iBAQ.IGROV.1.CP_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		IGROV-1/CP		IGROV-1/CP		Yes
ppb.iBAQ.IGROV.1.CP_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		IGROV-1/CP		IGROV-1/CP		Yes
