Plex Dataset Name,Run Metadata ID,Number of Fractions,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131
"01CPTAC_CompRef_UCEC_Proteome_PNNL_20170922","S043-1-5","24","WHIM-P94
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue"
"02CPTAC_CompRef_UCEC_Proteome_PNNL_20170922","S043-1-10","24","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue"
"03CPTAC_CompRef_UCEC_Proteome_PNNL_20180222","S043-1-15","24","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue"
"04CPTAC_CompRef_UCEC_Proteome_PNNL_20180503","S043-1-20","24","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P94
Xenograft Tissue","WHIM-P93
Xenograft Tissue"
